"tic","invest"
"ORGS",1002.00400801603
"ORIG",1002.00400801603
"ORRCF",1002.00400801603
"ORXGF",1002.00400801603
"ORZCF",1002.00400801603
"OSN",1002.00400801603
"OTCM",1002.00400801603
"OTIV",1002.00400801603
"OXLC",1002.00400801603
"P",1002.00400801603
"PACB",1002.00400801603
"PACDQ",1002.00400801603
"PAH",1002.00400801603
"PAM",1002.00400801603
"PARXF",1002.00400801603
"PBF",1002.00400801603
"PBR",1002.00400801603
"PBSK",1002.00400801603
"PBY.UN",1002.00400801603
"PCCWY",1002.00400801603
"PCD.UN",1002.00400801603
"PCROF",1002.00400801603
"PCRX",1002.00400801603
"PEB",1002.00400801603
"PERFQ",1002.00400801603
"PF",1002.00400801603
"PFLT",1002.00400801603
"PGCG",1002.00400801603
"PGLC",1002.00400801603
"PGTMF",1002.00400801603
"PGXPF",1002.00400801603
"PHMZF",1002.00400801603
"PJXRF",1002.00400801603
"PKPH",1002.00400801603
"PKTEF",1002.00400801603
"PLOW",1002.00400801603
"PLPM",1002.00400801603
"PLSB",1002.00400801603
"PLTYF",1002.00400801603
"PM",1002.00400801603
"PMT",1002.00400801603
"PNC.A",1002.00400801603
"PNWRF",1002.00400801603
"PPPMF",1002.00400801603
"PPRRF",1002.00400801603
"PPSI",1002.00400801603
"PRAN",1002.00400801603
"PRAY",1002.00400801603
"PRISY",1002.00400801603
"PRLB",1002.00400801603
"PRMW",1002.00400801603
"PRSS",1002.00400801603
"PRTY",1002.00400801603
"PRV.UN",1002.00400801603
"PSDV",1002.00400801603
"PSPW",1002.00400801603
"PTRA",1002.00400801603
"PTRDF",1002.00400801603
"PTX",1002.00400801603
"PVG",1002.00400801603
"PWON",1002.00400801603
"PXSLY",1002.00400801603
"PYRNF",1002.00400801603
"QNST",1002.00400801603
"QUAD",1002.00400801603
"QURE",1002.00400801603
"RBIZ",1002.00400801603
"RCM",1002.00400801603
"RCON",1002.00400801603
"RDEMF",1002.00400801603
"RDHL",1002.00400801603
"RDY",1002.00400801603
"REGI",1002.00400801603
"REN",1002.00400801603
"RENN",1002.00400801603
"REPCF",1002.00400801603
"REZZF",1002.00400801603
"RGLSF",1002.00400801603
"RIHC",1002.00400801603
"RIINF",1002.00400801603
"RIVE",1002.00400801603
"RIVVF",1002.00400801603
"RKHNF",1002.00400801603
"RKMSF",1002.00400801603
"RKNEF",1002.00400801603
"RLJ",1002.00400801603
"RLJE",1002.00400801603
"RM",1002.00400801603
"RMGN",1002.00400801603
"RMSL",1002.00400801603
"RNET",1002.00400801603
"RNKLF",1002.00400801603
"RNSGF",1002.00400801603
"RNVA",1002.00400801603
"ROM.H",1002.00400801603
"ROSYY",1002.00400801603
"ROT.",1002.00400801603
"RP",1002.00400801603
"RPKIF",1002.00400801603
"RPMT",1002.00400801603
"RPXC",1002.00400801603
"RSSS",1002.00400801603
"RST",1002.00400801603
"RTEGF",1002.00400801603
"RTLGF",1002.00400801603
"RUM.",1002.00400801603
"RVEN",1002.00400801603
"RXN",1002.00400801603
"RYES",1002.00400801603
"RYPPF",1002.00400801603
"SALT",1002.00400801603
"SANW",1002.00400801603
"SAUC",1002.00400801603
"SAVE",1002.00400801603
"SB",1002.00400801603
"SBBP",1002.00400801603
"SBI.",1002.00400801603
"SBOT",1002.00400801603
"SBRA",1002.00400801603
"SBS",1002.00400801603
"SCFFF",1002.00400801603
"SCYYF",1002.00400801603
"SCZC",1002.00400801603
"SDIV",1002.00400801603
"SDRL",1002.00400801603
"SEAS",1002.00400801603
"SECYF",1002.00400801603
"SEMG",1002.00400801603
"SENR",1002.00400801603
"SENY",1002.00400801603
"SENZ",1002.00400801603
"SFUN",1002.00400801603
"SGLB",1002.00400801603
"SGOC",1002.00400801603
"SHPG",1002.00400801603
"SHSP",1002.00400801603
"SID",1002.00400801603
"SINO",1002.00400801603
"SKHRF",1002.00400801603
"SKIS",1002.00400801603
"SKLN",1002.00400801603
"SKM",1002.00400801603
"SLCA",1002.00400801603
"SLRC",1002.00400801603
"SLRRF",1002.00400801603
"SLVRF",1002.00400801603
"SMGI.2",1002.00400801603
"SMMT",1002.00400801603
"SMSMY",1002.00400801603
"SN",1002.00400801603
"SNI",1002.00400801603
"SNWV",1002.00400801603
"SODA",1002.00400801603
"SOL",1002.00400801603
"SPDL",1002.00400801603
"SPGYF",1002.00400801603
"SPIL",1002.00400801603
"SPLB",1002.00400801603
"SPLP",1002.00400801603
"SPOXF",1002.00400801603
"SPSC",1002.00400801603
"SQNS",1002.00400801603
"SRCRF",1002.00400801603
"SREV",1002.00400801603
"SRLP",1002.00400801603
"SRMLF",1002.00400801603
"SRNA",1002.00400801603
"SRNE",1002.00400801603
"SSNF",1002.00400801603
"SSNI",1002.00400801603
"SSPXF",1002.00400801603
"ST",1002.00400801603
"STAF",1002.00400801603
"STAG",1002.00400801603
"STBZ",1002.00400801603
"STND",1002.00400801603
"STNG",1002.00400801603
"STO",1002.00400801603
"STRDF",1002.00400801603
"STRI",1002.00400801603
"STRXF",1002.00400801603
"STWD",1002.00400801603
